Order ID,Order Date,Customer Age,Gender,Country,Product Category,Quantity,Unit Price,Total Price,Payment Method,Customer Satisfaction,Returned
1,2023-01-01,56,Male,USA,Home,1,114.2,114.2,Cash,5,0
2,2023-01-02,69,Male,Canada,Toys,5,22.63,113.14999999999999,Credit Card,3,0
3,2023-01-03,46,Male,France,Sports,5,155.64,778.1999999999999,Debit Card,5,0
4,2023-01-04,32,Female,Australia,Electronics,7,120.91,846.37,Credit Card,3,0
5,2023-01-05,60,Male,France,Toys,4,158.57,634.28,Debit Card,2,1
6,2023-01-06,25,Male,UK,Toys,3,152.83,458.49,Cash,3,1
7,2023-01-07,38,Male,Canada,Electronics,1,162.57,162.57,Bank Transfer,2,1
8,2023-01-08,56,Female,UK,Home,8,108.42,867.36,PayPal,2,0
9,2023-01-09,36,Female,Canada,Electronics,3,36.66,109.97999999999999,Credit Card,4,0
10,2023-01-10,40,Male,UK,Toys,2,137.52,275.04,Cash,2,0
11,2023-01-11,28,Male,France,Home,4,127.89,511.56,Bank Transfer,3,1
12,2023-01-12,28,Male,France,Home,3,151.03,453.09000000000003,Cash,4,0
13,2023-01-13,41,Male,USA,Electronics,1,42.28,42.28,Credit Card,4,0
14,2023-01-14,53,Female,Australia,Toys,3,47.05,141.14999999999998,PayPal,2,0
15,2023-01-15,57,Female,UK,Sports,2,179.18,358.36,Cash,5,0
16,2023-01-16,41,Female,Germany,Toys,8,152.5,1220.0,Debit Card,5,0
17,2023-01-17,20,Female,USA,Apparel,6,182.56,1095.3600000000001,Bank Transfer,4,1
18,2023-01-18,39,Male,UK,Beauty,9,154.16,1387.44,Cash,2,1
19,2023-01-19,19,Male,UK,Sports,8,123.46,987.68,Bank Transfer,5,0
20,2023-01-20,41,Male,USA,Home,3,134.29,402.87,Debit Card,2,0
21,2023-01-21,61,Female,France,Sports,5,178.93,894.6500000000001,PayPal,2,1
22,2023-01-22,47,Male,UK,Home,7,119.97,839.79,PayPal,4,0
23,2023-01-23,55,Female,France,Home,5,130.15,650.75,Debit Card,4,0
24,2023-01-24,19,Female,USA,Sports,8,39.73,317.84,Bank Transfer,1,0
25,2023-01-25,38,Male,France,Home,5,100.05,500.25,Cash,5,0
26,2023-01-26,50,Male,Canada,Home,1,146.12,146.12,Debit Card,5,0
27,2023-01-27,29,Male,Germany,Apparel,5,61.48,307.4,Credit Card,5,0
28,2023-01-28,39,Female,UK,Toys,4,48.43,193.72,Bank Transfer,3,0
29,2023-01-29,61,Male,Australia,Toys,6,69.63,417.78,PayPal,2,0
30,2023-01-30,42,Female,Germany,Beauty,3,55.89,167.67000000000002,Debit Card,4,1
31,2023-01-31,66,Male,France,Beauty,5,50.83,254.14999999999998,PayPal,5,1
32,2023-02-01,44,Female,UK,Apparel,2,90.72,181.44,Bank Transfer,1,1
33,2023-02-02,59,Female,France,Beauty,6,182.49,1094.94,PayPal,5,0
34,2023-02-03,45,Male,Canada,Sports,6,106.34,638.04,Debit Card,2,0
35,2023-02-04,33,Female,USA,Electronics,5,45.7,228.5,Bank Transfer,2,0
36,2023-02-05,32,Female,UK,Electronics,6,24.62,147.72,Credit Card,4,1
37,2023-02-06,64,Male,Canada,Electronics,7,142.27,995.8900000000001,Debit Card,3,0
38,2023-02-07,68,Female,Canada,Apparel,5,82.73,413.65000000000003,Cash,4,0
39,2023-02-08,61,Male,UK,Apparel,1,166.15,166.15,Debit Card,5,0
40,2023-02-09,69,Female,France,Home,8,135.31,1082.48,Bank Transfer,1,0
41,2023-02-10,20,Male,Australia,Electronics,4,161.29,645.16,Debit Card,4,0
42,2023-02-11,54,Male,Canada,Sports,9,61.67,555.03,Credit Card,3,1
43,2023-02-12,68,Female,Germany,Beauty,6,141.55,849.3000000000001,Credit Card,4,1
44,2023-02-13,24,Female,Canada,Sports,1,60.17,60.17,Cash,2,0
45,2023-02-14,38,Female,Australia,Beauty,3,188.42,565.26,PayPal,5,1
46,2023-02-15,26,Female,France,Electronics,3,130.91,392.73,Bank Transfer,5,0
47,2023-02-16,56,Female,France,Electronics,4,71.66,286.64,Bank Transfer,5,0
48,2023-02-17,35,Male,Germany,Electronics,6,61.21,367.26,PayPal,5,0
49,2023-02-18,21,Female,Canada,Apparel,7,46.28,323.96000000000004,Credit Card,5,0
50,2023-02-19,42,Male,France,Beauty,4,141.98,567.92,Credit Card,5,0
51,2023-02-20,31,Male,Australia,Apparel,6,51.56,309.36,Debit Card,1,1
52,2023-02-21,67,Female,UK,Apparel,1,123.11,123.11,Cash,3,0
53,2023-02-22,26,Male,USA,Toys,8,60.28,482.24,Cash,5,0
54,2023-02-23,43,Male,USA,Sports,7,135.77,950.3900000000001,Cash,3,0
55,2023-02-24,19,Male,USA,Sports,9,164.84,1483.56,Debit Card,5,1
56,2023-02-25,37,Male,Canada,Home,3,157.82,473.46,Cash,4,0
57,2023-02-26,45,Female,Germany,Apparel,2,154.56,309.12,PayPal,5,0
58,2023-02-27,64,Male,France,Beauty,1,45.67,45.67,Debit Card,2,0
59,2023-02-28,24,Female,UK,Toys,3,26.79,80.37,PayPal,1,0
60,2023-03-01,61,Female,Australia,Toys,5,142.8,714.0,Debit Card,4,0
61,2023-03-02,25,Male,UK,Sports,2,79.99,159.98,Cash,4,0
62,2023-03-03,64,Female,Australia,Apparel,3,92.15,276.45000000000005,PayPal,2,0
63,2023-03-04,52,Female,Canada,Home,4,15.92,63.68,PayPal,5,0
64,2023-03-05,31,Female,USA,Apparel,7,59.32,415.24,PayPal,1,1
65,2023-03-06,34,Male,Canada,Electronics,3,16.4,49.199999999999996,Debit Card,4,0
66,2023-03-07,53,Female,Germany,Apparel,9,177.05,1593.45,Bank Transfer,1,0
67,2023-03-08,67,Female,Germany,Electronics,8,56.25,450.0,Cash,4,1
68,2023-03-09,57,Female,Australia,Electronics,4,115.89,463.56,PayPal,5,0
69,2023-03-10,21,Male,France,Home,1,17.41,17.41,Bank Transfer,4,1
70,2023-03-11,19,Female,France,Beauty,1,136.7,136.7,Cash,4,0
71,2023-03-12,23,Male,Australia,Sports,1,71.38,71.38,Cash,3,0
72,2023-03-13,59,Male,Germany,Apparel,1,180.6,180.6,PayPal,5,0
73,2023-03-14,21,Male,Germany,Electronics,8,178.74,1429.92,PayPal,2,1
74,2023-03-15,46,Male,Germany,Apparel,3,71.81,215.43,Debit Card,2,0
75,2023-03-16,35,Male,Canada,Beauty,6,181.18,1087.08,Bank Transfer,5,0
76,2023-03-17,43,Male,Germany,Sports,3,199.27,597.8100000000001,Bank Transfer,2,1
77,2023-03-18,61,Female,UK,Beauty,5,166.83,834.1500000000001,PayPal,5,0
78,2023-03-19,51,Male,USA,Sports,7,170.53,1193.71,Cash,2,0
79,2023-03-20,27,Female,Germany,Toys,2,57.31,114.62,PayPal,3,0
80,2023-03-21,53,Female,Australia,Sports,6,119.57,717.42,Cash,2,0
81,2023-03-22,31,Male,USA,Home,6,22.78,136.68,Cash,4,0
82,2023-03-23,48,Female,Canada,Beauty,3,28.03,84.09,PayPal,5,0
83,2023-03-24,65,Female,Australia,Electronics,6,199.79,1198.74,Credit Card,1,0
84,2023-03-25,32,Female,USA,Toys,5,72.06,360.3,Bank Transfer,1,0
85,2023-03-26,25,Female,Australia,Home,2,152.15,304.3,Cash,5,1
86,2023-03-27,31,Male,Canada,Apparel,9,163.27,1469.43,Cash,3,1
87,2023-03-28,40,Female,UK,Beauty,8,173.02,1384.16,Credit Card,2,0
88,2023-03-29,57,Male,Canada,Electronics,3,199.55,598.6500000000001,Debit Card,3,1
89,2023-03-30,38,Female,Canada,Sports,8,55.88,447.04,Credit Card,1,0
90,2023-03-31,33,Female,Australia,Electronics,9,17.67,159.03000000000003,Credit Card,5,0
91,2023-04-01,62,Male,France,Apparel,3,88.13,264.39,Cash,5,0
92,2023-04-02,35,Female,Germany,Toys,3,34.72,104.16,Bank Transfer,3,0
93,2023-04-03,64,Female,Germany,Toys,2,14.26,28.52,Credit Card,3,0
94,2023-04-04,41,Female,UK,Beauty,8,78.48,627.84,Debit Card,2,1
95,2023-04-05,43,Male,UK,Toys,1,158.91,158.91,PayPal,4,0
